rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,id,instance_id,active,heartbeat_timeout,heartbeat_period
1543504658386960337,,0,,1543504658,386494049,'',"""/Estimator_1acd0a0f-b6dc-48ce-95a4-cbe4e9f750bd""","""915e742e-0a7a-4267-9290-8f9b02b1ca0b""",True,4.0,1.0
1543504658472525496,,0,,1543504658,472248605,'',"""/Estimator_1acd0a0f-b6dc-48ce-95a4-cbe4e9f750bd""","""5341b588-5556-4f2f-b66a-a145b54f0ead""",True,4.0,1.0
1543504659158461771,,1,,1543504659,158128225,'',"""/ViconBridge_975dac0e-c545-4af5-8666-61f8d8027392""","""b9267e2d-739e-42c9-9091-6cff37293bbc""",True,4.0,1.0
1543504659172153786,,0,,1543504659,171914747,'',"""/ViconBridge_975dac0e-c545-4af5-8666-61f8d8027392""","""75b5b731-fa8f-4f35-8e5f-af99eacc211c""",True,4.0,1.0
1543504659386634321,,2,,1543504659,386415716,'',"""/Estimator_1acd0a0f-b6dc-48ce-95a4-cbe4e9f750bd""","""915e742e-0a7a-4267-9290-8f9b02b1ca0b""",True,4.0,1.0
1543504659472317751,,1,,1543504659,472152700,'',"""/Estimator_1acd0a0f-b6dc-48ce-95a4-cbe4e9f750bd""","""5341b588-5556-4f2f-b66a-a145b54f0ead""",True,4.0,1.0
1543504660158415361,,3,,1543504660,158081333,'',"""/ViconBridge_975dac0e-c545-4af5-8666-61f8d8027392""","""b9267e2d-739e-42c9-9091-6cff37293bbc""",True,4.0,1.0
1543504660172017929,,1,,1543504660,171837182,'',"""/ViconBridge_975dac0e-c545-4af5-8666-61f8d8027392""","""75b5b731-fa8f-4f35-8e5f-af99eacc211c""",True,4.0,1.0
1543504660386801150,,4,,1543504660,386486048,'',"""/Estimator_1acd0a0f-b6dc-48ce-95a4-cbe4e9f750bd""","""915e742e-0a7a-4267-9290-8f9b02b1ca0b""",True,4.0,1.0
1543504660472500140,,2,,1543504660,472171834,'',"""/Estimator_1acd0a0f-b6dc-48ce-95a4-cbe4e9f750bd""","""5341b588-5556-4f2f-b66a-a145b54f0ead""",True,4.0,1.0
1543504661158401410,,5,,1543504661,158082443,'',"""/ViconBridge_975dac0e-c545-4af5-8666-61f8d8027392""","""b9267e2d-739e-42c9-9091-6cff37293bbc""",True,4.0,1.0
1543504661172195342,,2,,1543504661,171852258,'',"""/ViconBridge_975dac0e-c545-4af5-8666-61f8d8027392""","""75b5b731-fa8f-4f35-8e5f-af99eacc211c""",True,4.0,1.0
1543504661237774024,,6,,1543504661,237430063,'',"""/Safepilot_0f97316f-dbc3-4ea1-acab-280598633935""","""6b181b17-6232-476b-b70f-ee8313f9dc31""",True,4.0,1.0
1543504661278191146,,0,,1543504661,277897277,'',"""/Safepilot_0f97316f-dbc3-4ea1-acab-280598633935""","""06c5255f-79c8-472e-9d69-17d479ed8e1b""",True,4.0,1.0
1543504661386927926,,7,,1543504661,386417885,'',"""/Estimator_1acd0a0f-b6dc-48ce-95a4-cbe4e9f750bd""","""915e742e-0a7a-4267-9290-8f9b02b1ca0b""",True,4.0,1.0
1543504661472494285,,3,,1543504661,472171964,'',"""/Estimator_1acd0a0f-b6dc-48ce-95a4-cbe4e9f750bd""","""5341b588-5556-4f2f-b66a-a145b54f0ead""",True,4.0,1.0
1543504662158377655,,8,,1543504662,158089041,'',"""/ViconBridge_975dac0e-c545-4af5-8666-61f8d8027392""","""b9267e2d-739e-42c9-9091-6cff37293bbc""",True,4.0,1.0
1543504662172277374,,3,,1543504662,171884817,'',"""/ViconBridge_975dac0e-c545-4af5-8666-61f8d8027392""","""75b5b731-fa8f-4f35-8e5f-af99eacc211c""",True,4.0,1.0
1543504662237694943,,9,,1543504662,237385106,'',"""/Safepilot_0f97316f-dbc3-4ea1-acab-280598633935""","""6b181b17-6232-476b-b70f-ee8313f9dc31""",True,4.0,1.0
1543504662278051685,,1,,1543504662,277817903,'',"""/Safepilot_0f97316f-dbc3-4ea1-acab-280598633935""","""06c5255f-79c8-472e-9d69-17d479ed8e1b""",True,4.0,1.0
1543504662386779160,,10,,1543504662,386486657,'',"""/Estimator_1acd0a0f-b6dc-48ce-95a4-cbe4e9f750bd""","""915e742e-0a7a-4267-9290-8f9b02b1ca0b""",True,4.0,1.0
1543504662472475250,,4,,1543504662,472171865,'',"""/Estimator_1acd0a0f-b6dc-48ce-95a4-cbe4e9f750bd""","""5341b588-5556-4f2f-b66a-a145b54f0ead""",True,4.0,1.0
1543504663158415198,,11,,1543504663,158089631,'',"""/ViconBridge_975dac0e-c545-4af5-8666-61f8d8027392""","""b9267e2d-739e-42c9-9091-6cff37293bbc""",True,4.0,1.0
1543504663172197400,,4,,1543504663,171876314,'',"""/ViconBridge_975dac0e-c545-4af5-8666-61f8d8027392""","""75b5b731-fa8f-4f35-8e5f-af99eacc211c""",True,4.0,1.0
1543504663237666823,,12,,1543504663,237415244,'',"""/Safepilot_0f97316f-dbc3-4ea1-acab-280598633935""","""6b181b17-6232-476b-b70f-ee8313f9dc31""",True,4.0,1.0
1543504663278039936,,2,,1543504663,277793610,'',"""/Safepilot_0f97316f-dbc3-4ea1-acab-280598633935""","""06c5255f-79c8-472e-9d69-17d479ed8e1b""",True,4.0,1.0
1543504663386618110,,13,,1543504663,386381292,'',"""/Estimator_1acd0a0f-b6dc-48ce-95a4-cbe4e9f750bd""","""915e742e-0a7a-4267-9290-8f9b02b1ca0b""",True,4.0,1.0
1543504663472552765,,5,,1543504663,472232334,'',"""/Estimator_1acd0a0f-b6dc-48ce-95a4-cbe4e9f750bd""","""5341b588-5556-4f2f-b66a-a145b54f0ead""",True,4.0,1.0
1543504664158188619,,14,,1543504664,158024468,'',"""/ViconBridge_975dac0e-c545-4af5-8666-61f8d8027392""","""b9267e2d-739e-42c9-9091-6cff37293bbc""",True,4.0,1.0
1543504664172263159,,5,,1543504664,171969943,'',"""/ViconBridge_975dac0e-c545-4af5-8666-61f8d8027392""","""75b5b731-fa8f-4f35-8e5f-af99eacc211c""",True,4.0,1.0
1543504664237622758,,15,,1543504664,237396721,'',"""/Safepilot_0f97316f-dbc3-4ea1-acab-280598633935""","""6b181b17-6232-476b-b70f-ee8313f9dc31""",True,4.0,1.0
1543504664278187177,,3,,1543504664,277847818,'',"""/Safepilot_0f97316f-dbc3-4ea1-acab-280598633935""","""06c5255f-79c8-472e-9d69-17d479ed8e1b""",True,4.0,1.0
1543504664386577450,,16,,1543504664,386382354,'',"""/Estimator_1acd0a0f-b6dc-48ce-95a4-cbe4e9f750bd""","""915e742e-0a7a-4267-9290-8f9b02b1ca0b""",True,4.0,1.0
1543504664472412358,,6,,1543504664,472162957,'',"""/Estimator_1acd0a0f-b6dc-48ce-95a4-cbe4e9f750bd""","""5341b588-5556-4f2f-b66a-a145b54f0ead""",True,4.0,1.0
1543504665158441555,,17,,1543504665,158142021,'',"""/ViconBridge_975dac0e-c545-4af5-8666-61f8d8027392""","""b9267e2d-739e-42c9-9091-6cff37293bbc""",True,4.0,1.0
1543504665172351705,,6,,1543504665,171858277,'',"""/ViconBridge_975dac0e-c545-4af5-8666-61f8d8027392""","""75b5b731-fa8f-4f35-8e5f-af99eacc211c""",True,4.0,1.0
1543504665237674806,,18,,1543504665,237473392,'',"""/Safepilot_0f97316f-dbc3-4ea1-acab-280598633935""","""6b181b17-6232-476b-b70f-ee8313f9dc31""",True,4.0,1.0
1543504665278222630,,4,,1543504665,277849499,'',"""/Safepilot_0f97316f-dbc3-4ea1-acab-280598633935""","""06c5255f-79c8-472e-9d69-17d479ed8e1b""",True,4.0,1.0
1543504665386665809,,19,,1543504665,386406713,'',"""/Estimator_1acd0a0f-b6dc-48ce-95a4-cbe4e9f750bd""","""915e742e-0a7a-4267-9290-8f9b02b1ca0b""",True,4.0,1.0
1543504665472658953,,7,,1543504665,472187952,'',"""/Estimator_1acd0a0f-b6dc-48ce-95a4-cbe4e9f750bd""","""5341b588-5556-4f2f-b66a-a145b54f0ead""",True,4.0,1.0
1543504666158385612,,20,,1543504666,158083516,'',"""/ViconBridge_975dac0e-c545-4af5-8666-61f8d8027392""","""b9267e2d-739e-42c9-9091-6cff37293bbc""",True,4.0,1.0
1543504666172210600,,7,,1543504666,171870911,'',"""/ViconBridge_975dac0e-c545-4af5-8666-61f8d8027392""","""75b5b731-fa8f-4f35-8e5f-af99eacc211c""",True,4.0,1.0
1543504666237772431,,21,,1543504666,237390983,'',"""/Safepilot_0f97316f-dbc3-4ea1-acab-280598633935""","""6b181b17-6232-476b-b70f-ee8313f9dc31""",True,4.0,1.0
1543504666278231571,,5,,1543504666,277855162,'',"""/Safepilot_0f97316f-dbc3-4ea1-acab-280598633935""","""06c5255f-79c8-472e-9d69-17d479ed8e1b""",True,4.0,1.0
1543504666386783248,,22,,1543504666,386414708,'',"""/Estimator_1acd0a0f-b6dc-48ce-95a4-cbe4e9f750bd""","""915e742e-0a7a-4267-9290-8f9b02b1ca0b""",True,4.0,1.0
1543504666472429989,,8,,1543504666,472176952,'',"""/Estimator_1acd0a0f-b6dc-48ce-95a4-cbe4e9f750bd""","""5341b588-5556-4f2f-b66a-a145b54f0ead""",True,4.0,1.0
1543504667158479683,,23,,1543504667,158086967,'',"""/ViconBridge_975dac0e-c545-4af5-8666-61f8d8027392""","""b9267e2d-739e-42c9-9091-6cff37293bbc""",True,4.0,1.0
1543504667172353678,,8,,1543504667,171872324,'',"""/ViconBridge_975dac0e-c545-4af5-8666-61f8d8027392""","""75b5b731-fa8f-4f35-8e5f-af99eacc211c""",True,4.0,1.0
1543504667237760483,,24,,1543504667,237488488,'',"""/Safepilot_0f97316f-dbc3-4ea1-acab-280598633935""","""6b181b17-6232-476b-b70f-ee8313f9dc31""",True,4.0,1.0
1543504667278166801,,6,,1543504667,277875121,'',"""/Safepilot_0f97316f-dbc3-4ea1-acab-280598633935""","""06c5255f-79c8-472e-9d69-17d479ed8e1b""",True,4.0,1.0
1543504667386907282,,25,,1543504667,386479973,'',"""/Estimator_1acd0a0f-b6dc-48ce-95a4-cbe4e9f750bd""","""915e742e-0a7a-4267-9290-8f9b02b1ca0b""",True,4.0,1.0
1543504667472598891,,9,,1543504667,472190387,'',"""/Estimator_1acd0a0f-b6dc-48ce-95a4-cbe4e9f750bd""","""5341b588-5556-4f2f-b66a-a145b54f0ead""",True,4.0,1.0
1543504668158296900,,26,,1543504668,158068314,'',"""/ViconBridge_975dac0e-c545-4af5-8666-61f8d8027392""","""b9267e2d-739e-42c9-9091-6cff37293bbc""",True,4.0,1.0
1543504668172456066,,9,,1543504668,171873694,'',"""/ViconBridge_975dac0e-c545-4af5-8666-61f8d8027392""","""75b5b731-fa8f-4f35-8e5f-af99eacc211c""",True,4.0,1.0
1543504668237672673,,27,,1543504668,237397826,'',"""/Safepilot_0f97316f-dbc3-4ea1-acab-280598633935""","""6b181b17-6232-476b-b70f-ee8313f9dc31""",True,4.0,1.0
1543504668278168123,,7,,1543504668,277836604,'',"""/Safepilot_0f97316f-dbc3-4ea1-acab-280598633935""","""06c5255f-79c8-472e-9d69-17d479ed8e1b""",True,4.0,1.0
1543504668386820798,,28,,1543504668,386528247,'',"""/Estimator_1acd0a0f-b6dc-48ce-95a4-cbe4e9f750bd""","""915e742e-0a7a-4267-9290-8f9b02b1ca0b""",True,4.0,1.0
1543504668472471438,,10,,1543504668,472237606,'',"""/Estimator_1acd0a0f-b6dc-48ce-95a4-cbe4e9f750bd""","""5341b588-5556-4f2f-b66a-a145b54f0ead""",True,4.0,1.0
1543504669158633140,,29,,1543504669,158083275,'',"""/ViconBridge_975dac0e-c545-4af5-8666-61f8d8027392""","""b9267e2d-739e-42c9-9091-6cff37293bbc""",True,4.0,1.0
1543504669172314470,,10,,1543504669,171864551,'',"""/ViconBridge_975dac0e-c545-4af5-8666-61f8d8027392""","""75b5b731-fa8f-4f35-8e5f-af99eacc211c""",True,4.0,1.0
1543504669237655910,,30,,1543504669,237413164,'',"""/Safepilot_0f97316f-dbc3-4ea1-acab-280598633935""","""6b181b17-6232-476b-b70f-ee8313f9dc31""",True,4.0,1.0
1543504669278303328,,8,,1543504669,277872746,'',"""/Safepilot_0f97316f-dbc3-4ea1-acab-280598633935""","""06c5255f-79c8-472e-9d69-17d479ed8e1b""",True,4.0,1.0
1543504669386805131,,31,,1543504669,386525441,'',"""/Estimator_1acd0a0f-b6dc-48ce-95a4-cbe4e9f750bd""","""915e742e-0a7a-4267-9290-8f9b02b1ca0b""",True,4.0,1.0
1543504669472419150,,11,,1543504669,472171489,'',"""/Estimator_1acd0a0f-b6dc-48ce-95a4-cbe4e9f750bd""","""5341b588-5556-4f2f-b66a-a145b54f0ead""",True,4.0,1.0
1543504670158497612,,32,,1543504670,158095993,'',"""/ViconBridge_975dac0e-c545-4af5-8666-61f8d8027392""","""b9267e2d-739e-42c9-9091-6cff37293bbc""",True,4.0,1.0
1543504670172448262,,11,,1543504670,171862235,'',"""/ViconBridge_975dac0e-c545-4af5-8666-61f8d8027392""","""75b5b731-fa8f-4f35-8e5f-af99eacc211c""",True,4.0,1.0
1543504670237628560,,33,,1543504670,237394371,'',"""/Safepilot_0f97316f-dbc3-4ea1-acab-280598633935""","""6b181b17-6232-476b-b70f-ee8313f9dc31""",True,4.0,1.0
1543504670278134344,,9,,1543504670,277853260,'',"""/Safepilot_0f97316f-dbc3-4ea1-acab-280598633935""","""06c5255f-79c8-472e-9d69-17d479ed8e1b""",True,4.0,1.0
1543504670386768714,,34,,1543504670,386477214,'',"""/Estimator_1acd0a0f-b6dc-48ce-95a4-cbe4e9f750bd""","""915e742e-0a7a-4267-9290-8f9b02b1ca0b""",True,4.0,1.0
1543504670472473429,,12,,1543504670,472174785,'',"""/Estimator_1acd0a0f-b6dc-48ce-95a4-cbe4e9f750bd""","""5341b588-5556-4f2f-b66a-a145b54f0ead""",True,4.0,1.0
1543504671158654192,,35,,1543504671,158086621,'',"""/ViconBridge_975dac0e-c545-4af5-8666-61f8d8027392""","""b9267e2d-739e-42c9-9091-6cff37293bbc""",True,4.0,1.0
1543504671172189695,,12,,1543504671,171870450,'',"""/ViconBridge_975dac0e-c545-4af5-8666-61f8d8027392""","""75b5b731-fa8f-4f35-8e5f-af99eacc211c""",True,4.0,1.0
1543504671237702841,,36,,1543504671,237396134,'',"""/Safepilot_0f97316f-dbc3-4ea1-acab-280598633935""","""6b181b17-6232-476b-b70f-ee8313f9dc31""",True,4.0,1.0
1543504671278131707,,10,,1543504671,277831144,'',"""/Safepilot_0f97316f-dbc3-4ea1-acab-280598633935""","""06c5255f-79c8-472e-9d69-17d479ed8e1b""",True,4.0,1.0
1543504671386866927,,37,,1543504671,386442956,'',"""/Estimator_1acd0a0f-b6dc-48ce-95a4-cbe4e9f750bd""","""915e742e-0a7a-4267-9290-8f9b02b1ca0b""",True,4.0,1.0
1543504671472513412,,13,,1543504671,472189541,'',"""/Estimator_1acd0a0f-b6dc-48ce-95a4-cbe4e9f750bd""","""5341b588-5556-4f2f-b66a-a145b54f0ead""",True,4.0,1.0
1543504672158439809,,38,,1543504672,158089866,'',"""/ViconBridge_975dac0e-c545-4af5-8666-61f8d8027392""","""b9267e2d-739e-42c9-9091-6cff37293bbc""",True,4.0,1.0
1543504672172359956,,13,,1543504672,171907958,'',"""/ViconBridge_975dac0e-c545-4af5-8666-61f8d8027392""","""75b5b731-fa8f-4f35-8e5f-af99eacc211c""",True,4.0,1.0
1543504672238287081,,39,,1543504672,237394029,'',"""/Safepilot_0f97316f-dbc3-4ea1-acab-280598633935""","""6b181b17-6232-476b-b70f-ee8313f9dc31""",True,4.0,1.0
1543504672278127961,,11,,1543504672,277809835,'',"""/Safepilot_0f97316f-dbc3-4ea1-acab-280598633935""","""06c5255f-79c8-472e-9d69-17d479ed8e1b""",True,4.0,1.0
1543504672386647104,,40,,1543504672,386402335,'',"""/Estimator_1acd0a0f-b6dc-48ce-95a4-cbe4e9f750bd""","""915e742e-0a7a-4267-9290-8f9b02b1ca0b""",True,4.0,1.0
1543504672472477923,,14,,1543504672,472195555,'',"""/Estimator_1acd0a0f-b6dc-48ce-95a4-cbe4e9f750bd""","""5341b588-5556-4f2f-b66a-a145b54f0ead""",True,4.0,1.0
1543504673158317465,,41,,1543504673,158059375,'',"""/ViconBridge_975dac0e-c545-4af5-8666-61f8d8027392""","""b9267e2d-739e-42c9-9091-6cff37293bbc""",True,4.0,1.0
1543504673172222595,,14,,1543504673,171865675,'',"""/ViconBridge_975dac0e-c545-4af5-8666-61f8d8027392""","""75b5b731-fa8f-4f35-8e5f-af99eacc211c""",True,4.0,1.0
1543504673237608822,,42,,1543504673,237386288,'',"""/Safepilot_0f97316f-dbc3-4ea1-acab-280598633935""","""6b181b17-6232-476b-b70f-ee8313f9dc31""",True,4.0,1.0
1543504673278254045,,12,,1543504673,277822519,'',"""/Safepilot_0f97316f-dbc3-4ea1-acab-280598633935""","""06c5255f-79c8-472e-9d69-17d479ed8e1b""",True,4.0,1.0
1543504673386632043,,43,,1543504673,386355558,'',"""/Estimator_1acd0a0f-b6dc-48ce-95a4-cbe4e9f750bd""","""915e742e-0a7a-4267-9290-8f9b02b1ca0b""",True,4.0,1.0
1543504673472577909,,15,,1543504673,472185187,'',"""/Estimator_1acd0a0f-b6dc-48ce-95a4-cbe4e9f750bd""","""5341b588-5556-4f2f-b66a-a145b54f0ead""",True,4.0,1.0
1543504674158369312,,44,,1543504674,158079771,'',"""/ViconBridge_975dac0e-c545-4af5-8666-61f8d8027392""","""b9267e2d-739e-42c9-9091-6cff37293bbc""",True,4.0,1.0
1543504674172383053,,15,,1543504674,171860963,'',"""/ViconBridge_975dac0e-c545-4af5-8666-61f8d8027392""","""75b5b731-fa8f-4f35-8e5f-af99eacc211c""",True,4.0,1.0
1543504674237665800,,45,,1543504674,237393843,'',"""/Safepilot_0f97316f-dbc3-4ea1-acab-280598633935""","""6b181b17-6232-476b-b70f-ee8313f9dc31""",True,4.0,1.0
1543504674278198950,,13,,1543504674,277856293,'',"""/Safepilot_0f97316f-dbc3-4ea1-acab-280598633935""","""06c5255f-79c8-472e-9d69-17d479ed8e1b""",True,4.0,1.0
1543504674386859706,,46,,1543504674,386441906,'',"""/Estimator_1acd0a0f-b6dc-48ce-95a4-cbe4e9f750bd""","""915e742e-0a7a-4267-9290-8f9b02b1ca0b""",True,4.0,1.0
1543504674472428169,,16,,1543504674,472202900,'',"""/Estimator_1acd0a0f-b6dc-48ce-95a4-cbe4e9f750bd""","""5341b588-5556-4f2f-b66a-a145b54f0ead""",True,4.0,1.0
1543504675158500975,,47,,1543504675,158089069,'',"""/ViconBridge_975dac0e-c545-4af5-8666-61f8d8027392""","""b9267e2d-739e-42c9-9091-6cff37293bbc""",True,4.0,1.0
1543504675172283648,,16,,1543504675,171859119,'',"""/ViconBridge_975dac0e-c545-4af5-8666-61f8d8027392""","""75b5b731-fa8f-4f35-8e5f-af99eacc211c""",True,4.0,1.0
1543504675237757479,,48,,1543504675,237481349,'',"""/Safepilot_0f97316f-dbc3-4ea1-acab-280598633935""","""6b181b17-6232-476b-b70f-ee8313f9dc31""",True,4.0,1.0
1543504675278268472,,14,,1543504675,277855730,'',"""/Safepilot_0f97316f-dbc3-4ea1-acab-280598633935""","""06c5255f-79c8-472e-9d69-17d479ed8e1b""",True,4.0,1.0
1543504675386657753,,49,,1543504675,386390891,'',"""/Estimator_1acd0a0f-b6dc-48ce-95a4-cbe4e9f750bd""","""915e742e-0a7a-4267-9290-8f9b02b1ca0b""",True,4.0,1.0
1543504675472521435,,17,,1543504675,472201369,'',"""/Estimator_1acd0a0f-b6dc-48ce-95a4-cbe4e9f750bd""","""5341b588-5556-4f2f-b66a-a145b54f0ead""",True,4.0,1.0
1543504676158322337,,50,,1543504676,158066730,'',"""/ViconBridge_975dac0e-c545-4af5-8666-61f8d8027392""","""b9267e2d-739e-42c9-9091-6cff37293bbc""",True,4.0,1.0
1543504676172306171,,17,,1543504676,171862950,'',"""/ViconBridge_975dac0e-c545-4af5-8666-61f8d8027392""","""75b5b731-fa8f-4f35-8e5f-af99eacc211c""",True,4.0,1.0
1543504676237796320,,51,,1543504676,237454631,'',"""/Safepilot_0f97316f-dbc3-4ea1-acab-280598633935""","""6b181b17-6232-476b-b70f-ee8313f9dc31""",True,4.0,1.0
1543504676278205070,,15,,1543504676,277841548,'',"""/Safepilot_0f97316f-dbc3-4ea1-acab-280598633935""","""06c5255f-79c8-472e-9d69-17d479ed8e1b""",True,4.0,1.0
1543504676386757055,,52,,1543504676,386430463,'',"""/Estimator_1acd0a0f-b6dc-48ce-95a4-cbe4e9f750bd""","""915e742e-0a7a-4267-9290-8f9b02b1ca0b""",True,4.0,1.0
1543504676472634431,,18,,1543504676,472193718,'',"""/Estimator_1acd0a0f-b6dc-48ce-95a4-cbe4e9f750bd""","""5341b588-5556-4f2f-b66a-a145b54f0ead""",True,4.0,1.0
1543504677158418131,,53,,1543504677,158092962,'',"""/ViconBridge_975dac0e-c545-4af5-8666-61f8d8027392""","""b9267e2d-739e-42c9-9091-6cff37293bbc""",True,4.0,1.0
1543504677172345717,,18,,1543504677,171872552,'',"""/ViconBridge_975dac0e-c545-4af5-8666-61f8d8027392""","""75b5b731-fa8f-4f35-8e5f-af99eacc211c""",True,4.0,1.0
1543504677239341761,,54,,1543504677,238747442,'',"""/Safepilot_0f97316f-dbc3-4ea1-acab-280598633935""","""6b181b17-6232-476b-b70f-ee8313f9dc31""",True,4.0,1.0
1543504677278148344,,16,,1543504677,277819816,'',"""/Safepilot_0f97316f-dbc3-4ea1-acab-280598633935""","""06c5255f-79c8-472e-9d69-17d479ed8e1b""",True,4.0,1.0
1543504677386681479,,55,,1543504677,386443749,'',"""/Estimator_1acd0a0f-b6dc-48ce-95a4-cbe4e9f750bd""","""915e742e-0a7a-4267-9290-8f9b02b1ca0b""",True,4.0,1.0
1543504677472452093,,19,,1543504677,472176913,'',"""/Estimator_1acd0a0f-b6dc-48ce-95a4-cbe4e9f750bd""","""5341b588-5556-4f2f-b66a-a145b54f0ead""",True,4.0,1.0
1543504678158284473,,56,,1543504678,158035387,'',"""/ViconBridge_975dac0e-c545-4af5-8666-61f8d8027392""","""b9267e2d-739e-42c9-9091-6cff37293bbc""",True,4.0,1.0
