rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,status,group
1543504660238730269,,0,,1543504660,238620629,"""All""",[Init],"['NA, NA']"
1543504660244088514,,1,,1543504660,243786312,"""All""",[Sleep],"['NA, NA']"
1543504660344320561,,2,,1543504660,344103473,"""All""",[Sleep],"['NA, NA']"
1543504660444745292,,3,,1543504660,444511760,"""All""",[Sleep],"['NA, NA']"
1543504660545145628,,4,,1543504660,544872023,"""All""",[Sleep],"['NA, NA']"
1543504660644709665,,5,,1543504660,644442290,"""All""",[Sleep],"['NA, NA']"
1543504660745092997,,6,,1543504660,744827030,"""All""",[Sleep],"['NA, NA']"
1543504660844410377,,7,,1543504660,844213280,"""All""",[Sleep],"['NA, NA']"
1543504660944846796,,8,,1543504660,944572872,"""All""",[Sleep],"['NA, NA']"
1543504661044088068,,9,,1543504661,43961095,"""All""",[Sleep],"['NA, NA']"
1543504661144655082,,10,,1543504661,144369352,"""All""",[Sleep],"['NA, NA']"
1543504661245045874,,11,,1543504661,244770566,"""All""",[Sleep],"['NA, NA']"
1543504661344399696,,12,,1543504661,344112931,"""All""",[Sleep],"['NA, NA']"
1543504661444840991,,13,,1543504661,444559676,"""All""",[Sleep],"['NA, NA']"
1543504661544123520,,14,,1543504661,543874356,"""All""",[Sleep],"['NA, NA']"
1543504661644554417,,15,,1543504661,644367724,"""All""",[Sleep],"['NA, NA']"
1543504661744968472,,16,,1543504661,744802706,"""All""",[Sleep],"['NA, NA']"
1543504661844503989,,17,,1543504661,844177927,"""All""",[Sleep],"['NA, NA']"
1543504661944748769,,18,,1543504661,944626460,"""All""",[Sleep],"['NA, NA']"
1543504662044071958,,19,,1543504662,43936964,"""All""",[Sleep],"['NA, NA']"
1543504662144517222,,20,,1543504662,144298579,"""All""",[Sleep],"['NA, NA']"
1543504662244938444,,21,,1543504662,244662100,"""All""",[Sleep],"['NA, NA']"
1543504662344237317,,22,,1543504662,344024742,"""All""",[Sleep],"['NA, NA']"
1543504662444669359,,23,,1543504662,444380889,"""All""",[Sleep],"['NA, NA']"
1543504662545060426,,24,,1543504662,544747935,"""All""",[Sleep],"['NA, NA']"
1543504662644295601,,25,,1543504662,644103976,"""All""",[Sleep],"['NA, NA']"
1543504662744688675,,26,,1543504662,744499977,"""All""",[Sleep],"['NA, NA']"
1543504662845180427,,27,,1543504662,844858431,"""All""",[Sleep],"['NA, NA']"
1543504662944464203,,28,,1543504662,944161267,"""All""",[Sleep],"['NA, NA']"
1543504663044884697,,29,,1543504663,44609222,"""All""",[Sleep],"['NA, NA']"
1543504663144201114,,30,,1543504663,143963691,"""All""",[Sleep],"['NA, NA']"
1543504663244611651,,31,,1543504663,244270737,"""All""",[Sleep],"['NA, NA']"
1543504663344834264,,32,,1543504663,344616304,"""All""",[Sleep],"['NA, NA']"
1543504663444457066,,33,,1543504663,444236650,"""All""",[Sleep],"['NA, NA']"
1543504663544720119,,34,,1543504663,544545912,"""All""",[Sleep],"['NA, NA']"
1543504663643934686,,35,,1543504663,643762720,"""All""",[Sleep],"['NA, NA']"
1543504663744241118,,36,,1543504663,744073722,"""All""",[Sleep],"['NA, NA']"
1543504663844588519,,37,,1543504663,844361935,"""All""",[Sleep],"['NA, NA']"
1543504663944806187,,38,,1543504663,944653041,"""All""",[Sleep],"['NA, NA']"
1543504664044071411,,39,,1543504664,43929362,"""All""",[Sleep],"['NA, NA']"
1543504664144368602,,40,,1543504664,144217984,"""All""",[Sleep],"['NA, NA']"
1543504664244673134,,41,,1543504664,244516167,"""All""",[Sleep],"['NA, NA']"
1543504664345077631,,42,,1543504664,344859505,"""All""",[Sleep],"['NA, NA']"
1543504664444350017,,43,,1543504664,444216366,"""All""",[Sleep],"['NA, NA']"
1543504664544737711,,44,,1543504664,544496686,"""All""",[Sleep],"['NA, NA']"
1543504664643993750,,45,,1543504664,643765145,"""All""",[Sleep],"['NA, NA']"
1543504664744244889,,46,,1543504664,744083587,"""All""",[Sleep],"['NA, NA']"
1543504664844693603,,47,,1543504664,844471392,"""All""",[Sleep],"['NA, NA']"
1543504664943982904,,48,,1543504664,943784987,"""All""",[Sleep],"['NA, NA']"
1543504665044470222,,49,,1543504665,44148512,"""All""",[Sleep],"['NA, NA']"
1543504665144818308,,50,,1543504665,144600797,"""All""",[Sleep],"['NA, NA']"
1543504665244264230,,51,,1543504665,243994114,"""All""",[Sleep],"['NA, NA']"
1543504665344720428,,52,,1543504665,344397462,"""All""",[Sleep],"['NA, NA']"
1543504665445067265,,53,,1543504665,444790987,"""All""",[Sleep],"['NA, NA']"
1543504665544481117,,54,,1543504665,544171101,"""All""",[Sleep],"['NA, NA']"
1543504665644796970,,55,,1543504665,644567758,"""All""",[Sleep],"['NA, NA']"
1543504665744163942,,56,,1543504665,743922238,"""All""",[Sleep],"['NA, NA']"
1543504665844480385,,57,,1543504665,844266134,"""All""",[Sleep],"['NA, NA']"
1543504665944879162,,58,,1543504665,944664020,"""All""",[Sleep],"['NA, NA']"
1543504666044366425,,59,,1543504666,44030301,"""All""",[Sleep],"['NA, NA']"
1543504666144709209,,60,,1543504666,144518422,"""All""",[Sleep],"['NA, NA']"
1543504666244089421,,61,,1543504666,243852856,"""All""",[Sleep],"['NA, NA']"
1543504666344496400,,62,,1543504666,344273611,"""All""",[Sleep],"['NA, NA']"
1543504666445129972,,63,,1543504666,444830132,"""All""",[Sleep],"['NA, NA']"
1543504666544392058,,64,,1543504666,544155336,"""All""",[Sleep],"['NA, NA']"
1543504666644897356,,65,,1543504666,644543446,"""All""",[Sleep],"['NA, NA']"
1543504666744190209,,66,,1543504666,743939310,"""All""",[Sleep],"['NA, NA']"
1543504666844542722,,67,,1543504666,844336184,"""All""",[Sleep],"['NA, NA']"
1543504666945062126,,68,,1543504666,944814207,"""All""",[Sleep],"['NA, NA']"
1543504667044471175,,69,,1543504667,44216070,"""All""",[Sleep],"['NA, NA']"
1543504667145042852,,70,,1543504667,144665349,"""All""",[Sleep],"['NA, NA']"
1543504667244388538,,71,,1543504667,244114397,"""All""",[Sleep],"['NA, NA']"
1543504667344787262,,72,,1543504667,344514866,"""All""",[Sleep],"['NA, NA']"
1543504667444139878,,73,,1543504667,443860112,"""All""",[Sleep],"['NA, NA']"
1543504667544486263,,74,,1543504667,544211714,"""All""",[Sleep],"['NA, NA']"
1543504667644897978,,75,,1543504667,644625009,"""All""",[Sleep],"['NA, NA']"
1543504667744424012,,76,,1543504667,744106873,"""All""",[Sleep],"['NA, NA']"
1543504667844798797,,77,,1543504667,844474212,"""All""",[Sleep],"['NA, NA']"
1543504667945058720,,78,,1543504667,944838285,"""All""",[Sleep],"['NA, NA']"
1543504668044342979,,79,,1543504668,44146112,"""All""",[Sleep],"['NA, NA']"
1543504668144740352,,80,,1543504668,144503233,"""All""",[Sleep],"['NA, NA']"
1543504668244080923,,81,,1543504668,243810369,"""All""",[Sleep],"['NA, NA']"
1543504668344482647,,82,,1543504668,344237044,"""All""",[Sleep],"['NA, NA']"
1543504668444928570,,83,,1543504668,444615165,"""All""",[Sleep],"['NA, NA']"
1543504668544382034,,84,,1543504668,544028479,"""All""",[Sleep],"['NA, NA']"
1543504668644653194,,85,,1543504668,644451986,"""All""",[Sleep],"['NA, NA']"
1543504668745172883,,86,,1543504668,744899511,"""All""",[Sleep],"['NA, NA']"
1543504668844513359,,87,,1543504668,844307702,"""All""",[Sleep],"['NA, NA']"
1543504668944893907,,88,,1543504668,944675053,"""All""",[Sleep],"['NA, NA']"
1543504669044359298,,89,,1543504669,44106788,"""All""",[Sleep],"['NA, NA']"
1543504669144779665,,90,,1543504669,144497391,"""All""",[Sleep],"['NA, NA']"
1543504669245142168,,91,,1543504669,244834100,"""All""",[Sleep],"['NA, NA']"
1543504669344537305,,92,,1543504669,344244258,"""All""",[Sleep],"['NA, NA']"
1543504669444950434,,93,,1543504669,444680685,"""All""",[Sleep],"['NA, NA']"
1543504669544379617,,94,,1543504669,544101055,"""All""",[Sleep],"['NA, NA']"
1543504669644644585,,95,,1543504669,644427987,"""All""",[Sleep],"['NA, NA']"
1543504669745084762,,96,,1543504669,744823436,"""All""",[Sleep],"['NA, NA']"
1543504669844413130,,97,,1543504669,844192120,"""All""",[Sleep],"['NA, NA']"
1543504669944811498,,98,,1543504669,944547556,"""All""",[Sleep],"['NA, NA']"
1543504670044111825,,99,,1543504670,43847857,"""All""",[Sleep],"['NA, NA']"
1543504670144523690,,100,,1543504670,144211236,"""All""",[Sleep],"['NA, NA']"
1543504670244816470,,101,,1543504670,244578224,"""All""",[Sleep],"['NA, NA']"
1543504670344056059,,102,,1543504670,343821926,"""All""",[Sleep],"['NA, NA']"
1543504670444472135,,103,,1543504670,444178470,"""All""",[Sleep],"['NA, NA']"
1543504670544855438,,104,,1543504670,544594089,"""All""",[Sleep],"['NA, NA']"
1543504670644227848,,105,,1543504670,643974749,"""All""",[Sleep],"['NA, NA']"
1543504670744633419,,106,,1543504670,744393031,"""All""",[Sleep],"['NA, NA']"
1543504670845059946,,107,,1543504670,844787276,"""All""",[Sleep],"['NA, NA']"
1543504670944368429,,108,,1543504670,944152840,"""All""",[Sleep],"['NA, NA']"
1543504671044862820,,109,,1543504671,44549550,"""All""",[Sleep],"['NA, NA']"
1543504671144021285,,110,,1543504671,143822316,"""All""",[Sleep],"['NA, NA']"
1543504671244394573,,111,,1543504671,244202884,"""All""",[Sleep],"['NA, NA']"
1543504671344802036,,112,,1543504671,344576521,"""All""",[Sleep],"['NA, NA']"
1543504671444087713,,113,,1543504671,443810291,"""All""",[Sleep],"['NA, NA']"
1543504671544375188,,114,,1543504671,544164887,"""All""",[Sleep],"['NA, NA']"
1543504671644840136,,115,,1543504671,644613554,"""All""",[Sleep],"['NA, NA']"
1543504671744079184,,116,,1543504671,743886116,"""All""",[Sleep],"['NA, NA']"
1543504671844483568,,117,,1543504671,844294975,"""All""",[Sleep],"['NA, NA']"
1543504671944879617,,118,,1543504671,944641545,"""All""",[Sleep],"['NA, NA']"
1543504672044163904,,119,,1543504672,43952865,"""All""",[Sleep],"['NA, NA']"
1543504672144612447,,120,,1543504672,144310121,"""All""",[Sleep],"['NA, NA']"
1543504672245064135,,121,,1543504672,244685559,"""All""",[Sleep],"['NA, NA']"
1543504672344332661,,122,,1543504672,344083196,"""All""",[Sleep],"['NA, NA']"
1543504672444786455,,123,,1543504672,444514935,"""All""",[Sleep],"['NA, NA']"
1543504672544113493,,124,,1543504672,543809015,"""All""",[Sleep],"['NA, NA']"
1543504672644472829,,125,,1543504672,644170818,"""All""",[Sleep],"['NA, NA']"
1543504672744889136,,126,,1543504672,744625756,"""All""",[Sleep],"['NA, NA']"
1543504672844298199,,127,,1543504672,844065250,"""All""",[Sleep],"['NA, NA']"
1543504672944788847,,128,,1543504672,944502039,"""All""",[Sleep],"['NA, NA']"
1543504673044093281,,129,,1543504673,43818732,"""All""",[Sleep],"['NA, NA']"
1543504673144514993,,130,,1543504673,144174789,"""All""",[Sleep],"['NA, NA']"
1543504673244788514,,131,,1543504673,244562451,"""All""",[Sleep],"['NA, NA']"
1543504673344179304,,132,,1543504673,343947222,"""All""",[Sleep],"['NA, NA']"
1543504673444689590,,133,,1543504673,444336397,"""All""",[Sleep],"['NA, NA']"
1543504673544919964,,134,,1543504673,544675428,"""All""",[Sleep],"['NA, NA']"
1543504673644225108,,135,,1543504673,644013742,"""All""",[Sleep],"['NA, NA']"
1543504673744706108,,136,,1543504673,744465052,"""All""",[Sleep],"['NA, NA']"
1543504673845187918,,137,,1543504673,844879821,"""All""",[Sleep],"['NA, NA']"
1543504673944468401,,138,,1543504673,944220183,"""All""",[Sleep],"['NA, NA']"
1543504674044851188,,139,,1543504674,44644884,"""All""",[Sleep],"['NA, NA']"
1543504674144381190,,140,,1543504674,144107361,"""All""",[Sleep],"['NA, NA']"
1543504674244741999,,141,,1543504674,244503080,"""All""",[Sleep],"['NA, NA']"
1543504674344068515,,142,,1543504674,343855863,"""All""",[Sleep],"['NA, NA']"
1543504674444505079,,143,,1543504674,444293659,"""All""",[Sleep],"['NA, NA']"
1543504674660919242,,144,,1543504674,660765162,"""All""",[Idle],"['NA, NA']"
1543504674666651566,,145,,1543504674,666159222,"""All""",[Idle],"['NA, NA']"
1543504674744817741,,146,,1543504674,744582763,"""All""",[Idle],"['NA, NA']"
1543504674844282069,,147,,1543504674,844061256,"""All""",[Idle],"['NA, NA']"
1543504674944730109,,148,,1543504674,944520124,"""All""",[Idle],"['NA, NA']"
1543504675044183223,,149,,1543504675,43933621,"""All""",[Idle],"['NA, NA']"
1543504675144407638,,150,,1543504675,144228375,"""All""",[Idle],"['NA, NA']"
1543504675244866242,,151,,1543504675,244574570,"""All""",[Idle],"['NA, NA']"
1543504675344069121,,152,,1543504675,343839299,"""All""",[Idle],"['NA, NA']"
1543504675444486537,,153,,1543504675,444276930,"""All""",[Idle],"['NA, NA']"
1543504675545125343,,154,,1543504675,544832882,"""All""",[Idle],"['NA, NA']"
1543504675644415448,,155,,1543504675,644214414,"""All""",[Idle],"['NA, NA']"
1543504675744958670,,156,,1543504675,744701300,"""All""",[Idle],"['NA, NA']"
1543504675844284892,,157,,1543504675,844093562,"""All""",[Idle],"['NA, NA']"
1543504675944757613,,158,,1543504675,944537292,"""All""",[Idle],"['NA, NA']"
1543504676044333522,,159,,1543504676,44052732,"""All""",[Idle],"['NA, NA']"
1543504676144692639,,160,,1543504676,144446233,"""All""",[Idle],"['NA, NA']"
1543504676245016645,,161,,1543504676,244797351,"""All""",[Idle],"['NA, NA']"
1543504676344525911,,162,,1543504676,344185081,"""All""",[Idle],"['NA, NA']"
1543504676444764143,,163,,1543504676,444552800,"""All""",[Idle],"['NA, NA']"
1543504676544248964,,164,,1543504676,544031171,"""All""",[Idle],"['NA, NA']"
1543504676644618610,,165,,1543504676,644431252,"""All""",[Idle],"['NA, NA']"
1543504676745059296,,166,,1543504676,744858251,"""All""",[Idle],"['NA, NA']"
1543504676844720518,,167,,1543504676,844457917,"""All""",[Idle],"['NA, NA']"
1543504676944085017,,168,,1543504676,943841280,"""All""",[Idle],"['NA, NA']"
1543504677044421740,,169,,1543504677,44207685,"""All""",[Idle],"['NA, NA']"
1543504677144904152,,170,,1543504677,144674038,"""All""",[Idle],"['NA, NA']"
1543504677244593290,,171,,1543504677,244316562,"""All""",[Idle],"['NA, NA']"
1543504677344630986,,172,,1543504677,344413401,"""All""",[Idle],"['NA, NA']"
1543504677443985990,,173,,1543504677,443813480,"""All""",[Idle],"['NA, NA']"
1543504677544481380,,174,,1543504677,544258271,"""All""",[Idle],"['NA, NA']"
1543504677644963588,,175,,1543504677,644724294,"""All""",[Idle],"['NA, NA']"
1543504677744386331,,176,,1543504677,744132469,"""All""",[Idle],"['NA, NA']"
1543504677844860974,,177,,1543504677,844596512,"""All""",[Idle],"['NA, NA']"
1543504677944353383,,178,,1543504677,943999641,"""All""",[Idle],"['NA, NA']"
1543504678045530469,,179,,1543504678,44409389,"""All""",[Idle],"['NA, NA']"
1543504678144194845,,180,,1543504678,143968674,"""All""",[Idle],"['NA, NA']"
1543504678244756769,,181,,1543504678,244479772,"""All""",[Idle],"['NA, NA']"
1543504678345171563,,182,,1543504678,344846820,"""All""",[Idle],"['NA, NA']"
1543504678444515983,,183,,1543504678,444238693,"""All""",[Idle],"['NA, NA']"
1543504678544867677,,184,,1543504678,544634769,"""All""",[Idle],"['NA, NA']"
1543504678644469000,,185,,1543504678,644117630,"""All""",[Idle],"['NA, NA']"
1543504678744920530,,186,,1543504678,744539649,"""All""",[Idle],"['NA, NA']"
1543504678844028254,,187,,1543504678,843845332,"""All""",[Idle],"['NA, NA']"
1543504678944594951,,188,,1543504678,944199486,"""All""",[Idle],"['NA, NA']"
1543504679044939786,,189,,1543504679,44658247,"""All""",[Idle],"['NA, NA']"
1543504679144322681,,190,,1543504679,144102707,"""All""",[Idle],"['NA, NA']"
1543504679244723039,,191,,1543504679,244484335,"""All""",[Idle],"['NA, NA']"
1543504679345110000,,192,,1543504679,344834182,"""All""",[Idle],"['NA, NA']"
1543504679444380852,,193,,1543504679,444166025,"""All""",[Idle],"['NA, NA']"
1543504679544779794,,194,,1543504679,544579581,"""All""",[Idle],"['NA, NA']"
1543504679644388015,,195,,1543504679,644081348,"""All""",[Idle],"['NA, NA']"
1543504679744921474,,196,,1543504679,744626949,"""All""",[Idle],"['NA, NA']"
1543504679844238995,,197,,1543504679,844016945,"""All""",[Idle],"['NA, NA']"
1543504679944743596,,198,,1543504679,944437149,"""All""",[Idle],"['NA, NA']"
1543504680044120881,,199,,1543504680,43841924,"""All""",[Idle],"['NA, NA']"
1543504680144622580,,200,,1543504680,144376872,"""All""",[Idle],"['NA, NA']"
1543504680244934995,,201,,1543504680,244694971,"""All""",[Idle],"['NA, NA']"
1543504680344401191,,202,,1543504680,344131491,"""All""",[Idle],"['NA, NA']"
1543504680444802824,,203,,1543504680,444502040,"""All""",[Idle],"['NA, NA']"
1543504680544137508,,204,,1543504680,543907953,"""All""",[Idle],"['NA, NA']"
1543504680644491289,,205,,1543504680,644294953,"""All""",[Idle],"['NA, NA']"
1543504680745088891,,206,,1543504680,744811000,"""All""",[Idle],"['NA, NA']"
1543504680844538554,,207,,1543504680,844306891,"""All""",[Idle],"['NA, NA']"
1543504680945067826,,208,,1543504680,944804294,"""All""",[Idle],"['NA, NA']"
1543504681044434250,,209,,1543504681,44229511,"""All""",[Idle],"['NA, NA']"
1543504681144992376,,210,,1543504681,144730798,"""All""",[Idle],"['NA, NA']"
1543504681244320690,,211,,1543504681,244067918,"""All""",[Idle],"['NA, NA']"
1543504681344702259,,212,,1543504681,344468134,"""All""",[Idle],"['NA, NA']"
1543504681444102627,,213,,1543504681,443816186,"""All""",[Idle],"['NA, NA']"
1543504681544366489,,214,,1543504681,544132517,"""All""",[Idle],"['NA, NA']"
1543504681644668262,,215,,1543504681,644468427,"""All""",[Idle],"['NA, NA']"
1543504681744058673,,216,,1543504681,743788734,"""All""",[Idle],"['NA, NA']"
1543504681844401194,,217,,1543504681,844155993,"""All""",[Idle],"['NA, NA']"
1543504681944778993,,218,,1543504681,944518516,"""All""",[Idle],"['NA, NA']"
1543504682044187058,,219,,1543504682,43916531,"""All""",[Idle],"['NA, NA']"
1543504682144566651,,220,,1543504682,144324755,"""All""",[Idle],"['NA, NA']"
1543504682245113052,,221,,1543504682,244818737,"""All""",[Idle],"['NA, NA']"
1543504682344474921,,222,,1543504682,344236658,"""All""",[Idle],"['NA, NA']"
1543504682444948628,,223,,1543504682,444717246,"""All""",[Idle],"['NA, NA']"
1543504682544416101,,224,,1543504682,544162283,"""All""",[Idle],"['NA, NA']"
1543504682644806619,,225,,1543504682,644566509,"""All""",[Idle],"['NA, NA']"
1543504682744527003,,226,,1543504682,744225976,"""All""",[Idle],"['NA, NA']"
1543504682844849556,,227,,1543504682,844595705,"""All""",[Idle],"['NA, NA']"
1543504682944314045,,228,,1543504682,943977713,"""All""",[Idle],"['NA, NA']"
1543504683044705157,,229,,1543504683,44463123,"""All""",[Idle],"['NA, NA']"
1543504683144093704,,230,,1543504683,143831509,"""All""",[Idle],"['NA, NA']"
1543504683244505044,,231,,1543504683,244246280,"""All""",[Idle],"['NA, NA']"
1543504683345007768,,232,,1543504683,344737440,"""All""",[Idle],"['NA, NA']"
1543504683444396567,,233,,1543504683,444142691,"""All""",[Idle],"['NA, NA']"
1543504683544818825,,234,,1543504683,544557857,"""All""",[Idle],"['NA, NA']"
1543504683644122346,,235,,1543504683,643847596,"""All""",[Idle],"['NA, NA']"
1543504683744539541,,236,,1543504683,744311234,"""All""",[Idle],"['NA, NA']"
1543504683845021673,,237,,1543504683,844776549,"""All""",[Idle],"['NA, NA']"
1543504683944388651,,238,,1543504683,944187267,"""All""",[Idle],"['NA, NA']"
1543504684044963864,,239,,1543504684,44691301,"""All""",[Idle],"['NA, NA']"
1543504684144364064,,240,,1543504684,144116906,"""All""",[Idle],"['NA, NA']"
1543504684244744226,,241,,1543504684,244539057,"""All""",[Idle],"['NA, NA']"
1543504684344759490,,242,,1543504684,344414177,"""All""",[Idle],"['NA, NA']"
1543504684445110213,,243,,1543504684,444826308,"""All""",[Idle],"['NA, NA']"
1543504684544455850,,244,,1543504684,544203860,"""All""",[Idle],"['NA, NA']"
1543504684644864309,,245,,1543504684,644663365,"""All""",[Idle],"['NA, NA']"
1543504684744537721,,246,,1543504684,744310347,"""All""",[Idle],"['NA, NA']"
1543504684845185403,,247,,1543504684,844931459,"""All""",[Idle],"['NA, NA']"
1543504684944504631,,248,,1543504684,944309662,"""All""",[Idle],"['NA, NA']"
1543504685044956917,,249,,1543504685,44682245,"""All""",[Idle],"['NA, NA']"
1543504685144250040,,250,,1543504685,144009223,"""All""",[Idle],"['NA, NA']"
1543504685244695796,,251,,1543504685,244469839,"""All""",[Idle],"['NA, NA']"
1543504685344140704,,252,,1543504685,343874036,"""All""",[Idle],"['NA, NA']"
1543504685444483297,,253,,1543504685,444277417,"""All""",[Idle],"['NA, NA']"
1543504685545037798,,254,,1543504685,544785474,"""All""",[Idle],"['NA, NA']"
1543504685644458543,,255,,1543504685,644210355,"""All""",[Idle],"['NA, NA']"
1543504685744940099,,256,,1543504685,744682112,"""All""",[Idle],"['NA, NA']"
1543504685844389029,,257,,1543504685,844071944,"""All""",[Idle],"['NA, NA']"
1543504685944688758,,258,,1543504685,944447717,"""All""",[Idle],"['NA, NA']"
1543504686044160738,,259,,1543504686,43862742,"""All""",[Idle],"['NA, NA']"
1543504686144476570,,260,,1543504686,144215024,"""All""",[Idle],"['NA, NA']"
1543504686244964955,,261,,1543504686,244746382,"""All""",[Idle],"['NA, NA']"
1543504686344413003,,262,,1543504686,344136156,"""All""",[Idle],"['NA, NA']"
1543504686444766858,,263,,1543504686,444534097,"""All""",[Idle],"['NA, NA']"
1543504686544231611,,264,,1543504686,543953854,"""All""",[Idle],"['NA, NA']"
1543504686644627998,,265,,1543504686,644366372,"""All""",[Idle],"['NA, NA']"
1543504686745163494,,266,,1543504686,744873578,"""All""",[Idle],"['NA, NA']"
1543504686844516061,,267,,1543504686,844269082,"""All""",[Idle],"['NA, NA']"
1543504686944958955,,268,,1543504686,944720895,"""All""",[Idle],"['NA, NA']"
1543504687044430334,,269,,1543504687,44216334,"""All""",[Idle],"['NA, NA']"
1543504687144946291,,270,,1543504687,144712906,"""All""",[Idle],"['NA, NA']"
1543504687244342068,,271,,1543504687,244113522,"""All""",[Idle],"['NA, NA']"
1543504687344807584,,272,,1543504687,344550477,"""All""",[Idle],"['NA, NA']"
1543504687444080793,,273,,1543504687,443857293,"""All""",[Idle],"['NA, NA']"
1543504687544490580,,274,,1543504687,544219172,"""All""",[Idle],"['NA, NA']"
1543504687651409416,,275,,1543504687,649507731,"""All""",[Idle],"['NA, NA']"
1543504687744191011,,276,,1543504687,743834462,"""All""",[Idle],"['NA, NA']"
1543504687839958987,,277,,1543504687,839554825,"""All""",[Idle],"['NA, NA']"
1543504687944237502,,278,,1543504687,943988613,"""All""",[Takeoff],"['NA, NA']"
1543504688044769998,,279,,1543504688,44519943,"""All""",[Takeoff],"['NA, NA']"
1543504688144261226,,280,,1543504688,143948250,"""All""",[Takeoff],"['NA, NA']"
1543504688244725322,,281,,1543504688,244422399,"""All""",[Takeoff],"['NA, NA']"
1543504688344923723,,282,,1543504688,344765617,"""All""",[Takeoff],"['NA, NA']"
1543504688444348832,,283,,1543504688,444130838,"""All""",[Takeoff],"['NA, NA']"
1543504688544879329,,284,,1543504688,544602543,"""All""",[Takeoff],"['NA, NA']"
1543504688644185330,,285,,1543504688,643979170,"""All""",[Takeoff],"['NA, NA']"
1543504688744697468,,286,,1543504688,744448631,"""All""",[Takeoff],"['NA, NA']"
1543504688844085553,,287,,1543504688,843792644,"""All""",[Takeoff],"['NA, NA']"
1543504688944488072,,288,,1543504688,944262770,"""All""",[Takeoff],"['NA, NA']"
1543504689045007871,,289,,1543504689,44776411,"""All""",[Takeoff],"['NA, NA']"
1543504689144473656,,290,,1543504689,144240172,"""All""",[Takeoff],"['NA, NA']"
1543504689244957017,,291,,1543504689,244738802,"""All""",[Takeoff],"['NA, NA']"
1543504689344497267,,292,,1543504689,344229698,"""All""",[Takeoff],"['NA, NA']"
1543504689444935513,,293,,1543504689,444659590,"""All""",[Takeoff],"['NA, NA']"
1543504689544383024,,294,,1543504689,544103203,"""All""",[Takeoff],"['NA, NA']"
1543504689644782610,,295,,1543504689,644525912,"""All""",[Takeoff],"['NA, NA']"
1543504689744119661,,296,,1543504689,743856155,"""All""",[Takeoff],"['NA, NA']"
1543504689844445864,,297,,1543504689,844248931,"""All""",[Takeoff],"['NA, NA']"
1543504689944971964,,298,,1543504689,944704834,"""All""",[Takeoff],"['NA, NA']"
1543504690044325165,,299,,1543504690,44074003,"""All""",[Takeoff],"['NA, NA']"
1543504690144681559,,300,,1543504690,144466855,"""All""",[Takeoff],"['NA, NA']"
